Region,Council,Care and Treatment Centre Sites
Mbeya,Mbeya Rural,Ilomba Dispensary
Mbeya,Mbeya Rural,Mbalizi Dispensary
Mbeya,Mbeya Rural,Ilumba Home
Mbeya,Mbeya Rural,JWTZ Mbalizi Hospital
Mbeya,Kyela,Kyela District Hospital
Mbeya,Kyela,Ipinda Health Centre
Mbeya,Kyela,Njisi Dispensary
Mbeya,Kyela,Kiwira coal mine Dispensary
Mbeya,Kyela,Ngonga Dispensary
Mbeya,Kyela,Bujonde Dispensary
Mbeya,Kyela,Busale Dispensary
Mbeya,Kyela,Ikama Dispensary
Mbeya,Kyela,Ikolo Dispensary
Mbeya,Kyela,Ilopa Dispensary
Mbeya,Kyela,Ipande Dispensary
Mbeya,Kyela,Itope Dispensary
Mbeya,Kyela,Kajungumele Dispensary
Mbeya,Kyela,Kapamisya Dispensary
Mbeya,Kyela,Katumba Songwe Dispensary
Mbeya,Kyela,Kilasilo Dispensary
Mbeya,Kyela,Lema Dispensary
Mbeya,Kyela,Lugombo Dispensary
Mbeya,Kyela,Lukwengo Dispensary
Mbeya,Kyela,Lutusyo Dispensary
Mbeya,Kyela,Mahenge Dispensary
Mbeya,Kyela,Makwale Dispensary
Mbeya,Kyela,Mwalisi Dispensary
Mbeya,Kyela,Ndobo Dispensary
Mbeya,Kyela,Ndwanga Dispensary
Mbeya,Kyela,Njugilo Dispensary
Mbeya,Kyela,Tenende Dispensary
Mbeya,Kyela,Uhai Baptist Dispensary
Mbeya,Kyela,Ngamanga Dispensary
Mbeya,Kyela,Nganga Dispensary
Mbeya,Kyela,Matema Lutheran Hospital
Mbeya,Rungwe,Tukuyu Hospital
Mbeya,Rungwe,Mwakaleli Health Centre
Mbeya,Rungwe,Ikuti Health Centre
Mbeya,Rungwe,KISA Health Centre
Mbeya,Rungwe,Masukulu Health Centre
Mbeya,Rungwe,Ibigi Dispensary
Mbeya,Rungwe,Ibililo Dispensary
Mbeya,Rungwe,Ikama Dispensary
Mbeya,Rungwe,Ilalabwe Dispensary
Mbeya,Rungwe,Ilima Dispensary
Mbeya,Rungwe,Ilolo Dispensary
Mbeya,Rungwe,Isange Dispensary
Mbeya,Rungwe,Isongole Dispensary
Mbeya,Rungwe,Kambasegela Dispensary
Mbeya,Rungwe,Kanyelele Dispensary
Mbeya,Rungwe,Kapungi Dispensary
Mbeya,Rungwe,Kasyabone Dispensary
Mbeya,Rungwe,Katumba 2 Dispensary
Mbeya,Rungwe,Katumba 1 Dispensary
Mbeya,Rungwe,Katundulu Dispensary
Mbeya,Rungwe,Kibole Dispensary
Mbeya,Rungwe,Kibwe Dispensary
Mbeya,Rungwe,Kipande Dispensary
Mbeya,Rungwe,Kiwira Dispensary
Mbeya,Rungwe,Kiwira Private Dispensary
Mbeya,Rungwe,Kyimo Dispensary
Mbeya,Rungwe,Lufingo Dispensary
Mbeya,Rungwe,Lupata dispensary
Mbeya,Rungwe,Lupepo Dispensary
Mbeya,Rungwe,Lutete Dispensary
Mbeya,Rungwe,Manow Dispensary
Mbeya,Rungwe,Masebe Dispensary
Mbeya,Rungwe,Masoko Dispensary
Mbeya,Rungwe,Mbigili Dispensary
Mbeya,Rungwe,Mpanda Dispensary
Mbeya,Rungwe,Mpuga Dispensary
Mbeya,Rungwe,Ndaga Dispensary
Mbeya,Rungwe,Ndala Dispensary
Mbeya,Rungwe,Nditu Dispensary
Mbeya,Rungwe,Ngumbulu Dispensary
Mbeya,Rungwe,Ntaba Dispensary
Mbeya,Rungwe,Suma Dispensary
Mbeya,Rungwe,Swaya Dispensary
Mbeya,Rungwe,Tukuyu Lutheran Health Centre
Mbeya,Rungwe,Ngaseke Dispensary
Mbeya,Rungwe,Igongwe Hospital
Mbeya,Rungwe,Itete Mission Hospital
Mbeya,Rungwe,Rungwe District
Mbeya,Ileje,Isoko Hospital
Mbeya,Ileje,Ibaba Health Centre
Mbeya,Ileje,Itumba Health Centre
Mbeya,Ileje,Mbebe Dispensary
Mbeya,Ileje,Sange Dispensary
Mbeya,Ileje,Lubanda Dispensary
Mbeya,Ileje,Ikumbilo Dispensary
Mbeya,Ileje,Bulanga Dispensary
Mbeya,Ileje,Bupigu Dispensary
Mbeya,Ileje,Bwipa Dispensary
Mbeya,Ileje,Chikumbulu Dispensary
Mbeya,Ileje,Ikumbilo Dispensary
Mbeya,Ileje,Ishenta Dispensary
Mbeya,Ileje,Isongole Dispensary
Mbeya,Ileje,Itale Dispensary
Mbeya,Ileje,Kalembo Dispensary
Mbeya,Ileje,Kapelekesi Dispensary
Mbeya,Ileje,Kapeta Dispensary
Mbeya,Ileje,Luswisi Dispensary
Mbeya,Ileje,Malangali Dispensary
Mbeya,Ileje,Mlale Dispensary
Mbeya,Ileje,Msia Dispensary
Mbeya,Ileje,Ngulilo Dispensary
Mbeya,Ileje,Ngulungulu Dispensary
Mbeya,Ileje,Sange Dispensary
Mbeya,Ileje,Sheyo Dispensary
Mbeya,Mbozi,Mbozi
Mbeya,Mbozi,Mbozi (Vwawa) District Hospital
Mbeya,Mbozi,Tunduma Health Centre
Mbeya,Mbozi,Iyula Health Centre
Mbeya,Mbozi,Ndalambo Health Centre
Mbeya,Mbozi,Itaka Health Centre
Mbeya,Mbozi,Kamsamba Health centre
Mbeya,Mbozi,Isansa Dispensary
Mbeya,Mbozi,Halungu Dispensary
Mbeya,Mbozi,Hampangala Dispensary
Mbeya,Mbozi,Hezya Dispensary
Mbeya,Mbozi,Ichesa Dispensary
Mbeya,Mbozi,Idiwili Dispensary
Mbeya,Mbozi,Idunda Dispensary
Mbeya,Mbozi,Igamba Dispensary
Mbeya,Mbozi,Ihanda Dispensary
Mbeya,Mbozi,Ilasi Health Centre
Mbeya,Mbozi,Ilomba Dispensary
Mbeya,Mbozi,Ipunga Dispensary
Mbeya,Mbozi,Isalalo Dispensary
Mbeya,Mbozi,Isandula Dispensary
Mbeya,Mbozi,Itumpi Dispensary
Mbeya,Mbozi,Mlangali Dispensary
Mbeya,Mbozi,Mlowo Dispensary
Mbeya,Mbozi,Mpela Dispensary
Mbeya,Mbozi,Msia Dispensary
Mbeya,Mbozi,Nambinzo Dispensary
Mbeya,Mbozi,Nyimbili Dispensary
Mbeya,Mbozi,Ruanda Dispensary
Mbeya,Mbozi,Sifika Dispensary
Mbeya,Mbozi,Songwe Dispensary
Mbeya,Mbozi,St. Joseph Hasamba Dispensary
Mbeya,Mbozi,Isenzanya Dispensary
Mbeya,Mbozi,Hamwelo Dispensary
Mbeya,Mbozi,Msamba Dispensary 6
Mbeya,Mbozi,Itaka Dispensary
Mbeya,Mbozi,Magamba Dispensary
Mbeya,Mbozi,Nkanga Dispensary
Mbeya,Mbozi,Myoviz Dispensary
Mbeya,Mbozi,Utambalila Dispensary
Mbeya,Mbozi,Ipyana Dispensary
Mbeya,Mbozi,Mbozi Mission Hospital
Mbeya,Mbeya Urban,Mbeya Referral Hospital
Mbeya,Mbeya Urban,META Maternity Hospital
Mbeya,Mbeya Urban,Mbeya Police (FFU) Health Centre
Mbeya,Mbeya Urban,Ruanda Prison Health Centre
Mbeya,Mbeya Urban,Itende JKT Health Centre
Mbeya,Mbeya Urban,Magereza Dispensary
Mbeya,Mbeya Urban,Mbeya Refferal Hospital Pediatric Clinic
Mbeya,Mbeya Urban,Igolwa Maternity Home
Mbeya,Mbeya Urban,Itensa Dispensary
Mbeya,Mbeya Urban,Ituha Dispensary
Mbeya,Mbeya Urban,Iziwa Dispensary
Mbeya,Mbeya Urban,Kalobe Dispensary
Mbeya,Mbeya Urban,Mwasenkwa Dispensary
Mbeya,Mbeya Urban,RC Iyunga Dispensary
Mbeya,Mbeya Urban,SDA Dispensary
Mbeya,Mbeya Urban,Itende Dispensary
Mbeya,Mbeya Urban,Isyesye ispensary
Mbeya,Mbeya Urban,Kalobe Home
Mbeya,Mbeya Urban,Mbeya Regional Hospital
Mbeya,Mbeya Urban,Ruanda Health Centre
Mbeya,Mbeya Urban,Kiwanjampaka Health Centre
Mbeya,Mbeya Urban,Igawilo Health Centre
Mbeya,Mbeya Urban,Aghakan Health Centre
Mbeya,Mbeya Urban,Military Hospital
Mbeya,Mbeya Urban,Ifisi Hosp
Mbeya,Mbeya Urban,Iyunga Health Centre
Mbeya,Mbeya Urban,Uyole Hospital
Mbeya,Mbarali,Mbarali District Hospital
Mbeya,Mbarali,Ujewa Mission Dispensary
Mbeya,Mbarali,Utengule Usangu Dispensary
Mbeya,Mbarali,Madibira Health Centre
Mbeya,Mbarali,Igurusi Dispensary
Mbeya,Mbarali,Uhai Health Centre
Mbeya,Mbarali,Uturo Dispensary
Mbeya,Mbarali,A and A Dispensary
Mbeya,Mbarali,"Chosi ""A"" Dispensary"
Mbeya,Mbarali,Igawa Dispensary
Mbeya,Mbarali,Ihahi Dispensary
Mbeya,Mbarali,Ikoga Dispensary
Mbeya,Mbarali,Ipwani Dispensary
Mbeya,Mbarali,Isitu Dispensary
Mbeya,Mbarali,Isunura Dispensary
Mbeya,Mbarali,Itamba Dispensary
Mbeya,Mbarali,Kangaga Dispensary
Mbeya,Mbarali,Luwango Dispensary
Mbeya,Mbarali,Mabadaga Dispensary
Mbeya,Mbarali,Madibira Small Holder Dispensary
Mbeya,Mbarali,Mahongole Dispensary
Mbeya,Mbarali,Mapogoro Dispensary
Mbeya,Mbarali,Matemele Dispensary
Mbeya,Mbarali,Mawindi Dispensary
Mbeya,Mbarali,Mbuyuni Dispensary
Mbeya,Mbarali,Muungano Dispensay
Mbeya,Mbarali,Nsonyanga Dispensary
Mbeya,Mbarali,Nyamakuyu Dispensary
Mbeya,Mbarali,Nyeregete Dispensary
Mbeya,Mbarali,Ruiwa Dispensary
Mbeya,Mbarali,Simike Dispensary
Mbeya,Mbarali,Ubaruku Dispensary
Mbeya,Mbarali,Uhambule Dispensary
Mbeya,Mbarali,Ukwavile Dispensary
Mbeya,Mbarali,Imalilo-songwe Dispensary
Mbeya,Mbarali,Msesule Dispensary
Mbeya,Mbarali,Wimba Mahango ispensary
Mbeya,Mbarali,Chimala Mission Hospital
Mbeya,Momba,Ivuna Dispensary
Mbeya,Momba,Chitete Dispensary
Mbeya,Momba,Chilumulo Dispensary
Mbeya,Momba,Chiwanda Dispensary
Mbeya,Momba,Holy Family Health Centre
Mbeya,Momba,Ilasi II Dispensary
Mbeya,Momba,Katette (Mpemba) Dispensary
Mbeya,Momba,Miyunga Dispensary
Mbeya,Momba,Mkomba Dispensary
Mbeya,Momba,Mkulwe Dispensary
Mbeya,Momba,Mkutano Dispensary
Mbeya,Momba,Moravian Health Center
Mbeya,Momba,Mpanda Dispensary
Mbeya,Momba,Mpapa Dispensary
Mbeya,Momba,Msangano Dispensary
Mbeya,Momba,Nandanga Dispensary
Mbeya,Momba,Ntungwa Dispensary
Mbeya,Busokelo DC,Ikama Dispensary
Mbeya,Busokelo DC,Lufilyo Dispensary
Mbeya,Busokelo DC,Mwakaleli Lutheran
Mbeya,Busokelo DC,Luteba Dispensary
Singida,Iramba,Iramba Kiomboi District Hospital
Singida,Iramba,Mkalama Rural Health Centre
Singida,Iramba,Mgongo Rural Health Centre
Singida,Iramba,Iguguno Dispensary
Singida,Iramba,Iambi Lutheran Hospital
Singida,Iramba,Kinyangiri Health Centre
Singida,Singida Rural,Makiungu Hospital
Singida,Singida Rural,Ikungi R Health Centre
Singida,Singida Rural,Ihanja R. Health Centre
Singida,Singida Rural,Ilongero R. Health Centre
Singida,Singida Rural,Mgori R. Health Centre
Singida,Singida Rural,Sepuka Health Centre
Singida,Singida Rural,Nkwae Dispensary
Singida,Singida Rural,Mgungira Dispensary
Singida,Manyoni,Manyoni District Hospital
Singida,Manyoni,Kintinku Health Centre
Singida,Manyoni,Itigi Health Centre
Singida,Manyoni,Heka Toa
Singida,Manyoni,Chibumagwa Health Centre
Singida,Manyoni,St. Gaspar Hospital
Singida,Manyoni,Kintinku Health Centre
Singida,Manyoni,Itigi Health Centre
Singida,Manyoni,Nkonko Rural Health Centre
Singida,Manyoni,Electra
Singida,Manyoni,Mitundu Dispensary
Singida,Manyoni,Kilimatinde Hospital
Singida,Manyoni,Electra Bosco Dispensary
Singida,Singida Urban,Singida Regional Hospital
Singida,Singida Urban,Sokoine Health Centre
Singida,Singida Urban,Ndago Health centre
Singida,Singida Urban,St Calorus Hospital
Singida,Singida Urban,Puma dispensary
Singida,Singida Urban,Mangua Health Centre
Singida,Singida Urban,Singida Gereza Dispensary
Tabora,Nzega,Nzega District Hospital
Tabora,Nzega,Bukene Health Centre
Tabora,Nzega,Itobo Health Centre
Tabora,Nzega,Busondo Health Centre
Tabora,Nzega,Zogolo Health Centre
Tabora,Nzega,Igusule Dispensary
Tabora,Nzega,Miguwa Dispensary
Tabora,Nzega,Isagenhe Dispensary
Tabora,Nzega,Mambali Dispensary
Tabora,Nzega,Samora Dispensary
Tabora,Nzega,Nata Dispensary
Tabora,Nzega,Itanana Health Centre
Tabora,Nzega,Sigili Dispensary
Tabora,Nzega,Lusu Dispensary
Tabora,Nzega,Ichemba Dispensary
Tabora,Nzega,Ikongolo Dispensary
Tabora,Nzega,Kisanga Dispensary
Tabora,Nzega,Kitunda Dispensary
Tabora,Nzega,Majojoro Dispensary
Tabora,Nzega,Ndala Hospital
Tabora,Nzega,Kipili Hospital
Tabora,Igunga,Igunga District Hospital
Tabora,Igunga,Simbo Health Centre
Tabora,Igunga,Igulubi Health Centre
Tabora,Igunga,Nanga Health Centre
Tabora,Igunga,Choma Health Centre
Tabora,Igunga,Itumba Health Centre
Tabora,Igunga,Mwanzugi Dispensary
Tabora,Igunga,Buhekela Dispensary
Tabora,Igunga,Sungwizi Dispensary
Tabora,Igunga,Isakamaliwa Dispensary
Tabora,Igunga,Mwamashimba Dispensary
Tabora,Igunga,Itunduru Dispensary
Tabora,Igunga,Chibiso Dispensary
Tabora,Igunga,Ziba Dispensary
Tabora,Igunga,Ikumbisiganga Dispensary
Tabora,Igunga,Ipole Dispensary
Tabora,Igunga,Isagenhe Dispensary
Tabora,Igunga,Kashishi Dispensary
Tabora,Igunga,Magereza Dispensary
Tabora,Igunga,Mibono Dispensary
Tabora,Igunga,Mitwigu Dispensary
Tabora,Igunga,Muungano Dispensary
Tabora,Igunga,Sokoine Dispensary
Tabora,Igunga,Songambele Dispensary
Tabora,Igunga,Nkinga Hospital
Tabora,Igunga,Igulubi Health Centre
Tabora,Sikonge,Sikonge DD Hospital
Tabora,Sikonge,Kitunda Health Centre
Tabora,Sikonge,Tutuo Health Centre
Tabora,Sikonge,Ipole Dispensary
Tabora,Sikonge,Kipili Dispensary
Tabora,Sikonge,Mazinge Health Centre
Tabora,Sikonge,Pangale Dispensary
Tabora,Sikonge,Mbono Dispensary
Tabora,Sikonge,Usunga Dispensary
Tabora,Sikonge,Utimule Dispensary
Tabora,Sikonge,Usanganya Dispensary
Tabora,Sikonge,Igigwa Dispensary
Tabora,Sikonge,Kigwa A Dispensary
Tabora,Sikonge,Mtakuja Dispensary
Tabora,Urambo,Urambo District Hospital
Tabora,Urambo,Ulyankulu Health Centre
Tabora,Urambo,Kaliua Health Centre
Tabora,Urambo,Ussoke Health Centre
Tabora,Urambo,Kashishi Dispensary
Tabora,Urambo,Ukumbisiganga Dispensary
Tabora,Urambo,Uyowa Dispensary
Tabora,Urambo,Mwongozo Dispensary
Tabora,Urambo,Vumilia Dispensary
Tabora,Urambo,Songambele Dispensary
Tabora,Urambo,Usinge Dispensary
Tabora,Urambo,Mirambo Dispensary
Tabora,Urambo,Ndono Dispensary
Tabora,Urambo,Usesula Dispensary
Tabora,Urambo,Usimba Dispensary
Tabora,Uyui,Ilolangula Dispensary
Tabora,Uyui,Gowelo Dispensary
Tabora,Uyui,Ishihimulwa Dispensary
Tabora,Uyui,Kigwa B Dispensary
Tabora,Uyui,zKingwa
Tabora,Uyui,Ufuluma Dispensary
Tabora,Uyui,Lutende Dispensary
Tabora,Uyui,Miswaki Dispensary
Tabora,Uyui,Tura Dispensary
Tabora,Uyui,Upuge Health Centre
Tabora,Uyui,Kizengi Dispensary
Tabora,Uyui,Loya Dispensary
Tabora,Uyui,Ibiri Dispensary
Tabora,Uyui,Isikizya Dispensary
Tabora,Uyui,Kilimawe Dispensary
Tabora,Uyui,Mitowo Dispensary
Tabora,Uyui,Sikonge Dispensary
Tabora,Uyui,Tutuo AMEC Dispensary
Tabora,Uyui,Uyui Dispensary
Tabora,Tabora Urban,Kitete Regional Hospital
Tabora,Tabora Urban,Tumbi Dispensary
Tabora,Tabora Urban,Manoleo Dispensary
Tabora,Tabora Urban,Kakola Dispensary
Tabora,Tabora Urban,Cheyo Dispesnsary
Tabora,Tabora Urban,Uyui Prisons Dispensary
Tabora,Tabora Urban,Police Dispensary
Tabora,Tabora Urban,Saint Philipo Health Centre
Tabora,Tabora Urban,Ipuli Health Centre
Tabora,Tabora Urban,Town Dispensary
Tabora,Tabora Urban,Ikomwa Dispensary
Tabora,Tabora Urban,Ndevelwa Dispensary
Tabora,Tabora Urban,Itaga Dispensary
Tabora,Tabora Urban,Bukumbi Dispensary
Tabora,Tabora Urban,Igagala Dispensary
Tabora,Tabora Urban,Lembeli Dispensary
Tabora,Tabora Urban,Tabora Mirambo Military Hospital
Tabora,Tabora Urban,Milambo JWTZ Hospital
Rukwa,Mpanda DC,Singiwe Disp
Rukwa,Mpanda DC,Katuka Disp
Rukwa,Mpanda DC,Mao Disp
Rukwa,Mpanda DC,Mpanda District Hospital
Rukwa,Mpanda DC,Katumba Health Centre
Rukwa,Mpanda DC,Karema Health Centre
Rukwa,Mpanda DC,Mamba Health Centre
Rukwa,Mpanda DC,Inyonga Health Centre
Rukwa,Mpanda DC,St Aloyce Health Centre
Rukwa,Mpanda DC,Mwese Health Centre
Rukwa,Mpanda DC,Mishamo Health Centre
Rukwa,Mpanda DC,Sitalike Dispensary
Rukwa,Mpanda DC,Usevya Health Centre
Rukwa,Mpanda DC,Mwangaza Health Centre
Rukwa,Mpanda DC,Mambwenkonswe Disp
Rukwa,Mpanda DC,Kilewani Disp
Rukwa,Mpanda DC,Matai V/A
Rukwa,Sumbawanga Rural,Kirando Health Centre
Rukwa,Sumbawanga Rural,Mtowisa Health Centre
Rukwa,Sumbawanga Rural,Laela Health Centre
Rukwa,Sumbawanga Rural,Matai Health Centre
Rukwa,Sumbawanga Rural,Mwazye Mission Dispensary
Rukwa,Sumbawanga Rural,Mumba Health centre
Rukwa,Sumbawanga Rural,Mpui Health Centre
Rukwa,Sumbawanga Rural,Mwimbi Health Centre
Rukwa,Sumbawanga Rural,Milepa Dispensary
Rukwa,Sumbawanga Rural,Msanzi Dispensary
Rukwa,Sumbawanga Rural,Kasanga Dispensary
Rukwa,Sumbawanga Rural,Muze Dispensary
Rukwa,Sumbawanga Rural,Kaengesa Health Centre
Rukwa,Sumbawanga Rural,M/muungano Health Centre
Rukwa,Sumbawanga Rural,Kalole Disp
Rukwa,Sumbawanga Rural,Katonto Disp
Rukwa,Sumbawanga Rural,Mkima Disp
Rukwa,Sumbawanga Rural,Malolwa Disp
Rukwa,Sumbawanga Rural,Ikozi Disp
Rukwa,Sumbawanga Rural,Kalambanzite Disp
Rukwa,Sumbawanga Rural,Lowe Disp
Rukwa,Sumbawanga Rural,Miangalua Disp
Rukwa,Sumbawanga Rural,Kaviffuti Disp
Rukwa,Sumbawanga Rural,Chombe Disp
Rukwa,Sumbawanga Rural,Kipeta Disp
Rukwa,Sumbawanga Rural,Kilangawana Disp
Rukwa,Sumbawanga Rural,Kaoze Disp
Rukwa,Sumbawanga Rural,Ilemba Disp
Rukwa,Sumbawanga Rural,Kalumbaleza
Rukwa,Sumbawanga Rural,Mfinga Disp
Rukwa,Sumbawanga Rural,Lila Disp
Rukwa,Sumbawanga Rural,Mkamba Disp
Rukwa,Nkasi,Namanyere DDH
Rukwa,Nkasi,Mvimwa Health Centre
Rukwa,Nkasi,Wampembe Health Centre
Rukwa,Nkasi,Chala Health Centre
Rukwa,Nkasi,Nkomolo Health Centre
Rukwa,Nkasi,Kilangala Health centre
Rukwa,Nkasi,Ntendo Dispensary
Rukwa,Nkasi,Milundikwa Dispensary
Rukwa,Nkasi,Kirando Health Centre
Rukwa,Nkasi,Mtenga Disp
Rukwa,Nkasi,Kizi Disp
Rukwa,Nkasi,Katani Disp
Rukwa,Nkasi,Myula Disp
Rukwa,Nkasi,Sintali Disp
Rukwa,Nkasi,Nkana Dispensary
Rukwa,Nkasi,Mkole Disp
Rukwa,Nkasi,Kabwe Disp
Rukwa,Nkasi,Msamba Disp
Rukwa,Sumbawanga Urban,Sumbawanga Regional Hospital
Rukwa,Sumbawanga Urban,Mazwi Health Centre
Rukwa,Sumbawanga Urban,Dr. Atiman Hospital
Rukwa,Sumbawanga Urban,Mtimbwa Dispensary
Rukwa,Sumbawanga Urban,Angaza Health Centre
Rukwa,Sumbawanga Urban,Tamasenga Health Centre
Rukwa,Sumbawanga Urban,Ntendo Dispensary
Rukwa,Sumbawanga Urban,Rukwa Police Dispensary
Rukwa,Sumbawanga Urban,Katandala Health Centre
Rukwa,Sumbawanga Urban,Kizwite Dispensary
Rukwa,Sumbawanga Urban,Kisumba Dispensary
Rukwa,Sumbawanga Urban,Ulinji Dispensary
Rukwa,Sumbawanga Urban,Mlanda Dispensary
Rukwa,Sumbawanga Urban,ST Theresia
Rukwa,Sumbawanga Urban,Kilimahewa Disp
Rukwa,Sumbawanga Urban,Majengo Disp
Rukwa,Sumbawanga Urban,Afya yako Disp
Rukwa,Sumbawanga Urban,Luwa Disp
Rukwa,Sumbawanga Urban,Senga Disp
Rukwa,Sumbawanga Urban,Isesa Disp
Rukwa,Sumbawanga Urban,Mawenzusi Disp
Rukwa,Sumbawanga Urban,Malagano Disp
Rukwa,Sumbawanga Urban,King'ombe Disp
Rukwa,Mpanda TC,Town Clinic Health Centre
Rukwa,Kalambo DC,Ngorotwa Health Centre
Rukwa,Kalambo DC,Katete Dispensary
Rukwa,Kalambo DC,Kalaela Dispensary
Rukwa,Kalambo DC,Myunga Disp
Rukwa,Kalambo DC,Mbuza Dispensary
Rukwa,Kalambo DC,Katapulo Dispensary
Rukwa,Kalambo DC,Kisumbakasote Disp
Rukwa,Kalambo DC,Mwimbi Health Centre
Rukwa,Kalambo DC,Samazi Disp
Rukwa,Kalambo DC,Kasanga Dispensary
Rukwa,Kalambo DC,Kilesha Dispensary
Rukwa,Kalambo DC,Katazi Dispensary
Rukwa,Kalambo DC,Urumi Dispensary
Rukwa,Kalambo DC,Luse Dispensary
Rukwa,Kalambo DC,Mambwekenya Dispensary
Rukwa,Kalambo DC,Kanyezi Dispensary
Rukwa,Kalambo DC,Legezamwendo Dispensary
Rukwa,Kalambo DC,Sopa Dispensary
Rukwa,Kalambo DC,Kalepula Dispensary
Rukwa,Kalambo DC,Tatanda Dispensary
Rukwa,Kalambo DC,Mwazye Dispensary
Kigoma,Kibondo,Kibondo District Hospital
Kigoma,Kibondo,Kufura Rural Health Centre
Kigoma,Kibondo,Kakonko Rural Health Centre
Kigoma,Kibondo,Mabamba Rural Health Centre
Kigoma,Kibondo,Nyanzige Rural Health Centre
Kigoma,Kasulu,Kasulu District Hospital
Kigoma,Kasulu,Rusesa Rural Health Centre
Kigoma,Kasulu,Muyama Rural Health Centre
Kigoma,Kasulu,Janda Rural Health Centre
Kigoma,Kasulu,Nyakitonto Rural Health Centre
Kigoma,Kasulu,Nyenge Rural Health centre
Kigoma,Kasulu,Shunga Rural Health Centre
Kigoma,Kasulu,Makere Dispensary
Kigoma,Kasulu,Mulera Rural Health Centre
Kigoma,Kasulu,Kiganamo Urban Health Centre
Kigoma,Kasulu,Asante Nyerere Dispensary
Kigoma,Kasulu,Bugaga Dispensary
Kigoma,Kasulu,Herujuu Dispensary
Kigoma,Kasulu,Kagera Nkanda Dispensary
Kigoma,Kasulu,Kanazi Dispensary
Kigoma,Kasulu,Kitagagata Dispensary
Kigoma,Kasulu,Kwaga Dispensary
Kigoma,Kasulu,Mtala Dispensary
Kigoma,Kasulu,Mvungwe Dispesnsary
Kigoma,Kasulu,Nyumbigwa Dispensary
Kigoma,Kasulu,Ruhita Dispensary
Kigoma,Kasulu,Rungwe Mpya
Kigoma,Kasulu,Shunguliba Dispensary
Kigoma,Kasulu,Kalela Dispensary
Kigoma,Kasulu,Heri Mission Hospital
Kigoma,Kasulu,Kabanga Hospital
Kigoma,Kigoma Rural,Matyazo Rural Health Centre
Kigoma,Kigoma Rural,Bitale Health Centre
Kigoma,Kigoma Rural,Buhingu Health Centre
Kigoma,Kigoma Rural,Mwamgongo Rural Health Centre
Kigoma,Kigoma Rural,Nguruka Health Centre
Kigoma,Kigoma Rural,Uvinza Health Centre
Kigoma,Kigoma Rural,Bigabiro Dispensary
Kigoma,Kigoma Rural,Bubango Dispensary
Kigoma,Kigoma Rural,Chankele Dispensary
Kigoma,Kigoma Rural,Kamara Dispensary
Kigoma,Kigoma Rural,Kasuku Dispensary
Kigoma,Kigoma Rural,Kidahwe Dispensary
Kigoma,Kigoma Rural,Mgaraganza Dispensary
Kigoma,Kigoma Rural,Mkabogo Dispensary
Kigoma,Kigoma Rural,Mwandiga Dispensary
Kigoma,Kigoma Rural,Zashe Dispensary
Kigoma,Kigoma Rural,Kiganza Dispensary
Kigoma,Kigoma Urban,Maweni Regional Hospital
Kigoma,Kigoma Urban,Ujiji Urban Health Centre
Kigoma,Kigoma Urban,Kigoma Town Clinic Dispensary
Kigoma,Kigoma Urban,Gungu Dispensary
Kigoma,Kigoma Urban,Kigoma Police Dispensary
Kigoma,Kigoma Urban,Kigoma Prison Dispensary
Kigoma,Kigoma Urban,Bangwe Dispensary
Kigoma,Kigoma Urban,Businde Dispensary
Kigoma,Kigoma Urban,Kigoma International Health Centre
Kigoma,Kigoma Urban,Msufini Dispensary
Kigoma,Kigoma Urban,SDA Dispensary
Kigoma,Kigoma Urban,Kigoma Baptist Hospital
Kigoma,Kigoma Urban,Rusimbi Dispensary
Kigoma,Uvinza,Basanza Dispensary
Kigoma,Uvinza,Igalula Dispensary
Kigoma,Uvinza,Kaseke Dispensary
Kigoma,Uvinza,Kirando Dispensary
Kigoma,Uvinza,Malagarasi Dispensary
Kigoma,Uvinza,Mwakizega Dispensary
Kigoma,Uvinza,Sibwesa Dispensary
Kigoma,Uvinza,Simbo Dispensary
Kigoma,Uvinza,Songambele Dispensary
Kigoma,Buhigwe,Biharu Health Centre
Kigoma,Buhigwe,Buhigwe Dispensary
Kigoma,Buhigwe,Kilelema Dispensary
Kigoma,Buhigwe,Mugera Dispensary
Kigoma,Buhigwe,Songambele Dispensary
Kigoma,Buhigwe,Nyarubonza Dispensary
Kigoma,Buhigwe,Heri Hospital
Kigoma,Kakonko,Bukililo Dispensary
Kigoma,Kakonko,Gwanumpu Dispensary
Kigoma,Kakonko,Kabingo Dispensary
Kigoma,Kakonko,Kasanda Dispensary
Kigoma,Kakonko,KazilaMihunda Dispensary
Kigoma,Kakonko,Keza Dispensary
Kigoma,Kakonko,Kakonko Mission Dispensary
Shinyanga,Bariadi,Bariadi District Hospital
Shinyanga,Bariadi,Zagayu Health Centre
Shinyanga,Bariadi,Ngulyati Health Centre
Shinyanga,Bariadi,Mwamapalala Dispensary
Shinyanga,Bariadi,Nkololo Dispenasry
Shinyanga,Bariadi,Byuna Health Centre
Shinyanga,Bariadi,Ikindilo Health Centre
Shinyanga,Bariadi,Muungano Health Centre
Shinyanga,Bariadi,Nkoma Health Centre
Shinyanga,Bariadi,Dutwa Dispensary
Shinyanga,Bariadi,Luguru Dispensary
Shinyanga,Maswa,Maswa District Hospital
Shinyanga,Maswa,Lalago Health Centre
Shinyanga,Maswa,Malampaka Health Centre
Shinyanga,Maswa,Mwasayi Health Centre
Shinyanga,Maswa,Nguliguli Dispensary
